State,District,Contact Person,Phone No.,Email,Address
ANDAMAN AND NICOBAR ISLANDS,Nicobars,R. RAGHUWARAN,3193-265141,icpsnicobar[at]gmail[dot]com,ROOM NO. 04 DISTRICT CHILD PROTECTION UNIT OFFICE OF THE DEPUTY COMMISSIONER NICOBAR ANDAMAN AND NICOBAR ISLANDS PIN 744301
ANDAMAN AND NICOBAR ISLANDS,North and Middle Andaman,Niranjan Malakar,3192-273127,dcpunma2017[at]gmail[dot]com,"District Child Protection Unit, Office of the Deputy Commissioner, North and Middle Andaman District, Mayabunder Pin-744204"
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Smti. Meghna Pal Gobind,91-0947420034,dcpusa2017[at]gmail[dot]com,Room No. 19 District Child Protection Unit South Andaman Office of Deputy Commissioner South Andaman
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,V.Komala lakshmi Incharge,0-8332993357,dcpualluri[at]gmail[dot]com,"DWCWEO Office, Paderu, Thalarsing Road, Alluri Sitharama Raju District-531024"
ANDHRA PRADESH,ANAKAPALLI,P.Lakshmi PO-IC,0-9966141470,dcpuakp016[at]gmail[dot]com,"O/o DWCWEO Office, Anakapalli, Plot No.3, Near Nookambika Temple, Gavarapalem, Anakapalli- 531001"
Andhra Pradesh,Anantapur,R MANJUNATHA,0-9398147656,dcpuatp[at]gmail[dot]com,"District Child Protection Officer District Child Protection Unit O/o DWCWEO, Opp BC Study Circle, Near Collectorate Ananthapuramu - 515 001"
ANDHRA PRADESH,ANNAMAYYA,B.Vinod Kumar DCPO,0-7013089364,dcpuannamayya[at]gmail[dot]com,"Opp, KTC Function Hall, Tsundupalli Road, Rayachoty, Annamayya District-516269"
ANDHRA PRADESH,BAPATLA,P.Purushothamarao DCPO,0-6305956519,dcpubpp[at]gmail[dot]com,"Beside Firestation, Upparapalem Gate Road, Akbarpeta, Bapatla, Bapatla district-522101"
Andhra Pradesh,Chittoor,Dr Subramanyam Dasari,0-9491355890,icpschittoor1[at]gmail[dot]com,"District Child Protection Officer Office of the District and Child Dev Agency New Collectorate, Chittoor"
ANDHRA PRADESH,DR. B.R. AMBEDKAR KONASEEMA,B.Uma Lakshmi,0-7997833823,dcpunitkonaseema[at]gmail[dot]com,"O/o DWCWEO Office, Room no.204 , 2nd floor, AIMS Engineering College compound, Mummidivaram, Dr.BR.Ambedkar Konaseema district-533216"
ANDHRA PRADESH,EAST GODAVARI,Cole Raj Kumar,0-9533323334,dcpurjy[at]gmail[dot]com,"DW.CW.EO Office,Pranganam, Bommuru, Rajamahendravaram Rural,East Godavari District,Andhra Pradesh Pin Code-533124."
Andhra Pradesh,Eluru,Dr Ch Surya Chakra Veni,0-9491063810,dcpuelr[at]gmail[dot]com,"Ditrict Child Protection Unit, Near Honda Showroom,NR.Peta, Eluru-534003 West Godawari A.P"
Andhra Pradesh,Guntur,Ch Vijay Kumar,0-7901597294,dcpugnt[at]gmail[dot]com,District child protection Unit DW CDA Guntur
Andhra Pradesh,Kakinada,Ch Venkata Rao,0-6303599264,dcpueg1[at]gmail[dot]com,DCPO D.No 65-1-1 Karanamgari Junction Narasanna Nagar Upstairs MORE Super Market Kakinada Kakinada District PIN 533003
Andhra Pradesh,Krishna,V PRASANTHI,0-7901597284,dcpukrishna1[at]gmail[dot]com,"District Child Protection Unit office of District Women and child Development Agency, Uma Shankar nagar, 1st Line, Kanuru, Penamaluru mandal, krishna District."
Andhra Pradesh,Kurnool,Smt. T Sarada,0-8333840129,dcpoknl1[at]gmail[dot]com,"District Child Protection Officer, District Child Protection Unit, Dist. Women and Child Dev.Agency Room.No.122 Collectorate Complex Kurnool"
ANDHRA PRADESH,NANDYAL,D.Swapna Priyadarshini DCPO,0-9490552502,dcpunydl[at]gmail[dot]com,"B Block, Old BSNL Quarters,Bommalasatram, Nandyala-518502"
Andhra Pradesh,Nellore,B.Suresh,0-9000789793,dcponlr84[at]gmail[dot]com,office of District women and child development agency A.K.Nagar opp. rajarajeswari temple SPS.Nellore-524003
ANDHRA PRADESH,NTR,M.Rajeswara Rao DCPO,0-9948057583,dcpuntr[at]gmail[dot]com,"D.No.6-93,1st Floor, WDCW Dept, Uma Sankar nagar 1st line, Kanuru, Vijayawada, NTR District-520007"
ANDHRA PRADESH,PALNADU,D.Showri Raju DCPO,0-9491893673,dcpupalnadu[at]gmail[dot]com,"H.No.133, NGO Colony 1st line, Narasaraopeta, Palnadu district-522601"
ANDHRA PRADESH,PARVATHIPURAM MANYAM,A.Satyanarayana DCPO,0-9440332581,dcpumvsparvathipuram[at]gmail[dot]com,"Door No.13-309, Ramanand Nagar, Opp Swami Hospital, Parvathipuram , Parvathipuram Manyam"
Andhra Pradesh,Prakasam,P Dinesh Kumar,0-9676404743,dcpuprk[at]gmail[dot]com,Office of the District Women and development agency Women and child welfare building complex ramnagar 3rd line ongole
ANDHRA PRADESH,SRI SATHYA SAI,C. Mahesh DCPO,0-9581559849,dcpusssd[at]gmail[dot]com,"DWand CWandEO Office, Opp Sri Satya Sai Super Speciality Hospital,Prashantigram, Puttaparthi, Sri Satya Sai District-515134"
Andhra Pradesh,Srikakulam,KV RAMANA,0-7901597211,dcpusklm[at]gmail[dot]com,"District Child Protection Unit, Office of the DWCW and EO, District Women and Child Development Agency, 80 Feet Road, Vambay Colony, Srikakulam Town 532001."
ANDHRA PRADESH,TIRUPATI,Dr. V. Siva Sankar DCPO,0-7093372107,icpstirupathi[at]gmail[dot]com,"Room no.505-407, 5th floor, B Block, Collectorate, Padmavathi nilayam, Tirupathi-517503"
Andhra Pradesh,Visakhapatnam,BH lakshmi DCPO,0-7901597243,icpsvsp5[at]gmail[dot]com,DCPU O.O DWCDA Second Floor DRDA Complex Sector-9 MVP Clony Visakhapatnam
Andhra Pradesh,Vizianagaram,Naga Raju,0-6305385545,dcpuvzm[at]gmail[dot]com,"District Child Protection Unit, O/o. District Women and Child Welfare and Empowerment Officer, Vizianagaram, 1st floor, Collectorate Complex, Vizianagaram-535003, A.P."
ANDHRA PRADESH,WEST GODAVARI,R.Rajesh,0-9391975617,dcpumvswgd[at]gmail[dot]com,"Door No.7-7-14 Motupalli vari veedi, near new bus complex,Bhimavaram, west Godavari District Pincode.534201"
Andhra Pradesh,YSR Kadapa,B R Subash Yadav,0-8331821098,dcpukadapa[at]gmail[dot]com,District Child Protection Unit Office of the Project Director D Block New Collectorate Kadapa AP
Arunachal Pradesh,Anjaw,BAWEEM APPA,3804-8732035127,cdpohlg[at]gmail[dot]com,CDPO ANJAW ARUNACHAL PRADESH
Arunachal Pradesh,Changlang,Shri. Solel Longling,3808-223853,changlangdcpu[at]gmail[dot]com,District Child Protection Unit DD ICDS Office Changlang
Arunachal Pradesh,Dibang Valley,Dilip Linggi,3801-9402731019,cdpoanini[at]gmail[dot]com,Anini CDPO
Arunachal Pradesh,East Kameng,Shri Pakkar Nomuk,3787-222412,ddicdsspa[at]gmail[dot]com,Office of the District Child Protection Unit(DCPU) Deptt. of Women and Child dev. located at old DPO office Building Seppa East Kameng District Arunachal Pradesh Pin 790102
Arunachal Pradesh,East Siang,Smti Machi Gao,368-2222308,deputydirectoricds[at]gmail[dot]com,Deputy Director ICDS District ICDS Cell PO-Pasighat District East Siang Pin-791102
Arunachal Pradesh,KAMLE,Gedam Don,360-7005383498,cdpotamenraga[at]gmail[dot]com,"o/o CDPO, Tamen - Raga ICDS Project, Kamle Distt. - 791130"
Arunachal Pradesh,Kra Daadi,Taniya Kampu,3788-00000000,cdpopalinicds[at]gmail[dot]com,Palin ICDS Project District-Kra Dadi
Arunachal Pradesh,KURUNG KUMEY,Kago Maya,3779-0000000,ddicdskkumey[at]gmail[dot]com,DD ICDS Kurung Kumey
Arunachal Pradesh,Leparada,Moli Nyodu,3795-222273,icdsbasar[at]gmail[dot]com,"ICDS Project Basar, Leparada District"
Arunachal Pradesh,Lohit,Savitri Khamti,3804-9436048253,ddicdstezu[at]gmail[dot]com,Mini Secretariat Building Block-B Tezu District - Lohit . Arunachal Pradesh
Arunachal Pradesh,Longding,HACHAM BANGSIA,3786-8974818624,cdpokanubari[at]gmail[dot]com,Longding
Arunachal Pradesh,Lower Dibang Valley,geyum amo pering,3803-9863924023,ddicdsroing[at]gmail[dot]com,DD Roing Dist Lower Dibang Valley
Arunachal Pradesh,Lower SIANG,Shri Jikom Doye,91-037389,doyejikom[at]gmail[dot]com,"District Child Protection Office, near Maa Malini Primary school, upper colony, Likabali"
ARUNACHAL PRADESH,LOWER SUBANSIRI,Dani Yami,91-9862552114,danijenny177[at]gmail[dot]com,"District child protection unit, Ziro, District Lower Subansiri, Arunachal Pradesh"
ARUNACHAL PRADESH,NAMSAI,WIHONG KHIMHUN,3806-9362922330,cdponamsai[at]gmail[dot]com,NAMSAI ARUNACHAL PRADESH
ARUNACHAL PRADESH,PAKKE KESSANG,Gogoi Natung,378-8132976134,cdpopakkekessang[at]gmail[dot]com,"O/o WCD, Pakke Kessang District"
Arunachal Pradesh,Papum Pare,Smti Jaya Taba DCPO Papum Pare,0-,ddicdsyupia[at]gmail[dot]com,DD ICDS Yupia Dist Yupia. Arunachal Pradesh
ARUNACHAL PRADESH,SHI YOMI,T.K Singh,379-6026417334,cdpomechukha1[at]gmail[dot]com,"WCD, Shi Yomi district"
